ID Cliente	Zona	Pa√≠	Tipo de producto	Canal de venta	Prioridad	Fecha pedido	ID Pedido	Fecha env√≠	Unidades	Precio Unitario	Coste unitario	Importe venta total	Importe Coste total
C1017	¡frica	South Sudan	Cosm√©tico	Offline	Cr√≠tic	43940	998791825	43951	9210	109,28	263,33	634377,2	382091,83
C1018	¡frica	Mozambique	Snacks	Offline	Cr√≠tic	44868	998791825	44869	4180	668,27	97,44	1134584,88	724563,84
C1019	Centroam√©rica y Carib	Saint Kitts and Nevis 	Material de oficina	Online	Alta	44752	998791825	44764	875	437,2	524,96	3343963,35	2695669,6
C102	Europa	Latvia	Verduras	Online	Baja	44846	182575023	44871	4104	154,06	90,93	632262,24	373176,72
C1020	¡frica	Rwanda	Material de oficina	Online	Baja	44348	998791825	44368	2580	154,06	524,96	2456364,12	1980149,12
C1021	¡frica	Rwanda	Cuidado personal	Offline	Media	44040	998791825	44079	9614	81,73	56,67	784771,46	544145,34
C1022	Europa	Moldova 	Cosm√©tico	Online	Cr√≠tic	44355	998791825	44402	4323	109,28	263,33	398726,4	240156,96
C1023	Europa	Austria	Snacks	Offline	Media	44403	998791825	44412	6090	9,33	97,44	460639,02	294171,36
C1024	Europa	Spain	Ropa	Online	Cr√≠tic	44484	998791825	44490	6323	109,28	35,84	357345,6	117196,8
C1025	Asia	China	Verduras	Online	Cr√≠tic	44523	998791825	44529	3467	421,89	90,93	931600,82	549853,71
C1026	¡frica	Qatar	Cuidado personal	Online	Alta	44592	998791825	44632	7994	47,45	56,67	634306,53	439815,87
C1027	Europa	Georgia	Ropa	Offline	Alta	44388	998791825	44413	7410	205,7	35,84	202386,56	66375,68
C1028	Asia	Kazakhstan	Ropa	Offline	Cr√≠tic	44799	998791825	44845	1250	154,06	35,84	414936,16	136084,48
C1029	¡frica	Namibia	Dom√©stic	Online	Cr√≠tic	44248	998791825	44271	6083	668,27	502,54	4075110,46	3064488,92
C103	Asia	Singapore	Snacks	Offline	Cr√≠tic	44345	184062469	44371	5764	152,58	97,44	879471,12	561644,16
C1030	Centroam√©rica y Carib	Jamaica	Cosm√©tico	Offline	Media	44438	998791825	44477	505	9,33	263,33	1439699,6	867145,69
C1031	¡frica	Syria	Verduras	Online	Alta	44611	998791825	44629	149	109,28	90,93	1070408,88	631781,64
C1032	¡frica	Tanzania	Cuidado personal	Offline	Baja	44152	998791825	44198	2674	9,33	56,67	54186,99	37572,21
C1033	¡frica	Angola	Ropa	Offline	Media	44160	998791825	44205	2773	651,21	35,84	553721,76	181601,28
C1034	Asia	China	Frutas	Offline	Alta	44840	998791825	44842	7169	205,7	6,92	26329,26	19528,24
C1035	Europa	Hungary	Ropa	Offline	Baja	43928	998791825	43975	9619	81,73	35,84	395484,32	129704,96
C1036	Europa	Norway	C√°rnico	Online	Alta	44532	998791825	44545	5906	109,28	364,69	3874215,87	3348948,27
C1037	Australia y Ocean√≠	Australia	Bebida	Online	Alta	44163	998791825	44193	8850	47,45	31,79	392316,6	262839,72
C1038	¡frica	Nigeria	Cereales	Online	Cr√≠tic	44654	998791825	44693	3299	421,89	117,11	341462	194402,6
C1039	Asia	Thailand	Verduras	Online	Media	44331	998791825	44347	1132	109,28	90,93	1105688,62	652604,61
C104	Europa	Lithuania	Dom√©stic	Online	Baja	44537	185303580	44584	4709	668,27	502,54	3146883,43	2366460,86
C1040	Asia	Taiwan	Dom√©stic	Online	Baja	44799	998791825	44805	6261	205,7	502,54	3119484,36	2345856,72
C1041	Asia	India	Frutas	Online	Alta	44158	998791825	44196	9627	154,06	6,92	9432,63	6996,12
C1042	Europa	Romania	Ropa	Online	Alta	44827	998791825	44831	4206	47,45	35,84	559513,6	183500,8
C1043	Australia y Ocean√≠	East Timor	Frutas	Online	Baja	44676	998791825	44714	1	421,89	6,92	27383,55	20310,2
C1044	Europa	Bosnia and Herzegovina	Material de oficina	Offline	Baja	44854	998791825	44887	9049	154,06	524,96	1582440,3	1275652,8
C1045	Europa	Ireland	Cereales	Offline	Cr√≠tic	44047	998791825	44071	417	47,45	117,11	1771282,7	1008434,21
C1046	Europa	Croatia	Cuidado personal	Offline	Baja	44217	998791825	44224	5203	154,06	56,67	695767,49	482431,71
C1047	¡frica	Iraq	Ropa	Offline	Media	44867	998791825	44884	1539	205,7	35,84	678082,4	222387,2
C1048	Europa	Malta	Bebida	Offline	Baja	44600	998791825	44601	9584	109,28	31,79	369303,35	247421,57
C1049	Europa	Ireland	C√°rnico	Online	Cr√≠tic	44776	998791825	44825	6531	255,28	364,69	2691236,31	2326357,51
C105	¡frica	Senegal	Bebida	Offline	Alta	44565	186451995	44581	7821	47,45	31,79	371106,45	248629,59
C1050	¡frica	Madagascar	Ropa	Offline	Baja	44815	998791825	44820	1604	437,2	35,84	781789,12	256399,36
C1051	Europa	Austria	Cereales	Offline	Baja	44805	998791825	44817	1057	81,73	117,11	472904,3	269235,89
C1052	¡frica	Sierra Leone	Verduras	Online	Media	43938	998791825	43958	3178	668,27	90,93	930368,34	549126,27
C1053	Europa	Netherlands	Bebida	Online	Baja	44160	998791825	44177	3282	81,73	31,79	456848,6	306074,12
C1054	Europa	Croatia	C√°rnico	Online	Cr√≠tic	44435	998791825	44442	8719	421,89	364,69	2680267,17	2316875,57
C1055	Centroam√©rica y Carib	Trinidad and Tobago	Verduras	Offline	Media	44393	998791825	44425	3869	154,06	90,93	1006165,86	593863,83
C1056	Asia	South Korea	Bebida	Online	Alta	44858	998791825	44903	5143	9,33	31,79	119099,5	79792,9
C1057	Australia y Ocean√≠	Samoa 	Verduras	Offline	Baja	44188	998791825	44227	5983	255,28	90,93	565554,26	333804,03
C1058	Europa	Albania	Cereales	Offline	Baja	44022	998791825	44042	1863	81,73	117,11	292916,8	166764,64
C1059	¡frica	Cape Verde	Ropa	Offline	Baja	44577	998791825	44610	5287	81,73	35,84	460287,36	150958,08
C106	¡frica	South Sudan	Verduras	Offline	Cr√≠tic	44762	186766564	44791	4009	154,06	90,93	617626,54	364538,37
C1060	Europa	Italy	Alimento infantil	Online	Cr√≠tic	44131	998791825	44166	793	668,27	159,42	640497,52	399984,78
C1061	Europa	Hungary	Cosm√©tico	Online	Media	44763	998791825	44784	9946	421,89	263,33	1669666,8	1005657,27
C1062	Asia	Maldives	Cuidado personal	Online	Cr√≠tic	44522	998791825	44523	6347	668,27	56,67	627604,67	435168,93
C1063	¡frica	Mali	Dom√©stic	Online	Media	44214	998791825	44238	624	651,21	502,54	438385,12	329666,24
C1064	¡frica	Yemen	Cuidado personal	Offline	Baja	44791	998791825	44839	5439	9,33	56,67	110172,04	76391,16
C1065	Asia	North Korea	C√°rnico	Offline	Baja	44743	998791825	44765	484	154,06	364,69	2272299,54	1964220,34
C1066	Asia	Uzbekistan	Verduras	Offline	Media	44795	998791825	44805	7483	47,45	90,93	66399,86	39190,83
C1067	Europa	Latvia	Frutas	Offline	Cr√≠tic	44251	998791825	44263	5191	437,2	6,92	10953,42	8124,08
C1068	Asia	Singapore	Alimento infantil	Online	Alta	44652	998791825	44693	4394	205,7	159,42	1107915,2	691882,8
C1069	Europa	Lithuania	Cuidado personal	Offline	Baja	44030	998791825	44080	2909	81,73	56,67	301093,32	208772,28
C107	Europa	Bulgaria	Alimento infantil	Online	Alta	44042	186811625	44059	9217	255,28	159,42	2352915,76	1469374,14
C1070	¡frica	Senegal	Cuidado personal	Offline	Baja	44742	998791825	44745	585	668,27	56,67	407914,43	282839,97
C1071	¡frica	South Sudan	Dom√©stic	Offline	Alta	44590	998791825	44595	4302	255,28	502,54	721731,6	542743,2
C1072	Europa	Bulgaria	C√°rnico	Offline	Cr√≠tic	44660	998791825	44683	2971	651,21	364,69	2868008,22	2479162,62
C1073	¡frica	Seychelles 	Dom√©stic	Offline	Media	44614	998791825	44625	2534	421,89	502,54	2689786,75	2022723,5
C1074	Centroam√©rica y Carib	Saint Kitts and Nevis 	Material de oficina	Online	Media	44264	998791825	44303	965	255,28	524,96	4346175,54	3503583,04
C1075	Centroam√©rica y Carib	Saint Vincent and the Grenadines	Frutas	Offline	Alta	44090	998791825	44101	3269	437,2	6,92	53041,05	39340,2
C1076	Europa	Andorra	Verduras	Online	Baja	44717	998791825	44717	6482	81,73	90,93	621323,98	366720,69
C1077	¡frica	Mali	Bebida	Offline	Baja	44310	998791825	44324	4671	651,21	31,79	81756,35	54774,17
C1078	¡frica	Togo	Cosm√©tico	Online	Baja	44309	998791825	44332	3935	437,2	263,33	345388	208030,7
C1079	Asia	Thailand	Cereales	Online	Baja	44740	998791825	44779	7404	152,58	117,11	62327,1	35484,33
C108	¡frica	Seychelles 	C√°rnico	Offline	Alta	44596	187358796	44621	1417	421,89	364,69	597818,13	516765,73
C1080	Europa	Moldova 	Cuidado personal	Offline	Baja	44726	998791825	44759	239	668,27	56,67	111071,07	77014,53
C1081	Centroam√©rica y Carib	Trinidad and Tobago	Dom√©stic	Online	Baja	44062	998791825	44079	4633	421,89	502,54	1396016,03	1049806,06
C1082	Asia	Japan	Alimento infantil	Online	Baja	44779	998791825	44795	4808	651,21	159,42	677257,84	422941,26
C1083	¡frica	Central African Republic	Material de oficina	Online	Cr√≠tic	44354	998791825	44399	2021	9,33	524,96	159546,45	128615,2
C1084	¡frica	Azerbaijan	C√°rnico	Offline	Baja	44587	998791825	44613	9556	47,45	364,69	1724264,43	1490488,03
C1085	¡frica	Mauritania	Alimento infantil	Online	Baja	44818	998791825	44846	7732	47,45	159,42	111046,8	69347,7
C1086	Europa	Portugal	Cosm√©tico	Online	Media	44531	998791825	44557	8896	255,28	263,33	3311790	1994724,75
C1087	¡frica	Liberia	Cuidado personal	Offline	Cr√≠tic	43878	998791825	43915	2430	668,27	56,67	67345,52	46696,08
C1088	¡frica	South Sudan	Material de oficina	Online	Cr√≠tic	44205	998791825	44245	9744	81,73	524,96	4904262,51	3953473,76
C1089	¡frica	Cameroon	Cosm√©tico	Offline	Alta	44392	998791825	44395	9280	152,58	263,33	907190	546409,75
C109	Centroam√©rica y Carib	Saint Kitts and Nevis 	Dom√©stic	Online	Alta	44067	187923991	44103	5616	668,27	502,54	3753004,32	2822264,64
C1090	Centroam√©rica y Carib	Cuba	Snacks	Offline	Baja	44511	998791825	44519	1513	205,7	97,44	132592,02	84675,36
C1091	¡frica	Malawi	Dom√©stic	Offline	Cr√≠tic	44260	998791825	44283	3946	154,06	502,54	4913789,31	3695176,62
C1092	Australia y Ocean√≠	Tuvalu	C√°rnico	Offline	Alta	44524	998791825	44555	6116	152,58	364,69	2954495,67	2553924,07
C1093	¡frica	Burundi	Material de oficina	Offline	Baja	44773	998791825	44775	4591	668,27	524,96	1512109,62	1218957,12
C1094	¡frica	Liberia	Frutas	Online	Media	44623	998791825	44645	7969	47,45	6,92	73203,18	54294,32
C1095	Asia	Turkmenistan	Bebida	Online	Baja	44356	998791825	44367	1880	154,06	31,79	244130,25	163559,55
C1096	¡frica	Uganda	Bebida	Offline	Baja	44403	998791825	44410	3985	255,28	31,79	370821,75	248438,85
C1097	¡frica	Lebanon	Alimento infantil	Offline	Cr√≠tic	44821	998791825	44853	8977	421,89	159,42	1655746,08	1033998,12
C1098	Europa	Switzerland	Dom√©stic	Offline	Alta	44767	998791825	44792	3578	668,27	502,54	2553459,67	1920205,34
C1099	¡frica	Kuwait	Cuidado personal	Online	Media	44069	998791825	44078	1545	255,28	56,67	777334,03	538988,37
C11	Norteam√©ric	Greenland	Cosm√©tico	Online	Alta	44757	112364661	44803	966	437,2	263,33	422335,2	254376,78
C110	Centroam√©rica y Carib	Saint Vincent and the Grenadines	Alimento infantil	Offline	Alta	44418	188509356	44465	8848	255,28	159,42	2258717,44	1410548,16
C1100	Asia	India	Snacks	Offline	Baja	44788	998791825	44814	8663	437,2	97,44	805469,82	514385,76
C1101	¡frica	Angola	Cereales	Offline	Alta	44436	998791825	44436	7749	421,89	117,11	2032727,4	1157281,02
C1102	Asia	Uzbekistan	Verduras	Online	Baja	44846	998791825	44871	3653	81,73	90,93	632262,24	373176,72
C1103	Europa	Latvia	Snacks	Offline	Cr√≠tic	44345	998791825	44371	8254	421,89	97,44	879471,12	561644,16
C1104	¡frica	Ghana	Dom√©stic	Online	Baja	44537	998791825	44584	5463	668,27	502,54	3146883,43	2366460,86
C1105	Europa	Poland	Bebida	Offline	Alta	44565	998791825	44581	6222	255,28	31,79	371106,45	248629,59
C1106	Asia	Mongolia	Verduras	Offline	Cr√≠tic	44762	998791825	44791	3506	47,45	90,93	617626,54	364538,37
C1107	Asia	Vietnam	Alimento infantil	Online	Alta	44042	998791825	44059	7318	205,7	159,42	2352915,76	1469374,14
C1108	Europa	United Kingdom	C√°rnico	Offline	Alta	44596	998791825	44621	9696	81,73	364,69	597818,13	516765,73
C1109	Australia y Ocean√≠	Vanuatu	Dom√©stic	Online	Alta	44067	998791825	44103	9707	9,33	502,54	3753004,32	2822264,64
C111	Europa	Andorra	Cosm√©tico	Offline	Baja	44106	189044940	44149	5182	437,2	263,33	2265570,4	1364576,06
C1110	¡frica	Ethiopia	Alimento infantil	Offline	Alta	44418	998791825	44465	8448	152,58	159,42	2258717,44	1410548,16
C1111	¡frica	Niger	Cosm√©tico	Offline	Baja	44106	998791825	44149	4051	47,45	263,33	2265570,4	1364576,06
C1112	¡frica	Central African Republic	C√°rnico	Offline	Cr√≠tic	44868	998791825	44888	6676	9,33	364,69	302073,24	261118,04
C1113	¡frica	Cape Verde	Cuidado personal	Offline	Media	43887	998791825	43905	3516	9,33	56,67	701161,67	486171,93
C1114	Norteam√©ric	United States of America	C√°rnico	Offline	Alta	44759	998791825	44794	3794	421,89	364,69	1659715,26	1434690,46
C1115	¡frica	Sudan	Dom√©stic	Online	Alta	44440	998791825	44448	3765	9,33	502,54	5995718,44	4508788,88
C1116	¡frica	Republic of the Congo	Alimento infantil	Online	Alta	44210	998791825	44250	1715	47,45	159,42	2021051,76	1262128,14
C1117	Australia y Ocean√≠	Federated States of Micronesia	Bebida	Online	Media	43927	998791825	43947	2963	421,89	31,79	96038,8	64342,96
C1118	¡frica	South Sudan	Cereales	Offline	Cr√≠tic	44643	998791825	44643	4855	154,06	117,11	941694,6	536129,58
C1119	¡frica	Cape Verde	Cuidado personal	Online	Baja	43901	998791825	43924	1772	154,06	56,67	482125,27	334296,33
C112	¡frica	Mali	C√°rnico	Offline	Cr√≠tic	44868	189138495	44888	716	421,89	364,69	302073,24	261118,04
C1120	Australia y Ocean√≠	Palau	Frutas	Offline	Baja	44612	998791825	44654	126	668,27	6,92	77746,89	57664,36
C1121	¡frica	Bahrain	Snacks	Offline	Media	44090	998791825	44140	3359	255,28	97,44	192403,38	122871,84
C1122	¡frica	Algeria	Bebida	Online	Baja	43973	998791825	43975	6944	651,21	31,79	289207,75	193760,05
C1123	¡frica	Botswana	Frutas	Online	Alta	44481	998791825	44526	3386	154,06	6,92	11905,08	8829,92
C1124	¡frica	Seychelles 	Frutas	Online	Baja	43889	998791825	43923	7221	109,28	6,92	67894,41	50356,84
C1125	¡frica	The Gambia	C√°rnico	Online	Baja	44278	998791825	44293	17	205,7	364,69	677133,45	585327,45
C1126	¡frica	Guinea-Bissau	Frutas	Online	Baja	44739	998791825	44788	5373	47,45	6,92	35407,35	26261,4
C1127	¡frica	Pakistan	Bebida	Offline	Baja	43991	998791825	44022	3918	81,73	31,79	19691,75	13192,85
C1128	¡frica	Mauritania	C√°rnico	Offline	Alta	44031	998791825	44054	8313	421,89	364,69	26157,18	22610,78
C1129	Asia	Thailand	Verduras	Online	Cr√≠tic	44392	998791825	44416	8251	47,45	90,93	1289020,02	760811,31
C113	¡frica	Togo	Cuidado personal	Offline	Media	43887	189347493	43905	8579	81,73	56,67	701161,67	486171,93
C1130	¡frica	Afghanistan	Verduras	Offline	Media	44755	998791825	44802	5455	437,2	90,93	460947,52	272062,56
C1131	¡frica	The Gambia	Dom√©stic	Online	Media	44424	998791825	44464	8680	205,7	502,54	5765833,56	4335915,12
C1132	¡frica	Oman	Alimento infantil	Online	Alta	43896	998791825	43914	8713	205,7	159,42	510304,72	318680,58
C1133	¡frica	Burkina Faso	Material de oficina	Online	Media	44336	998791825	44371	3371	109,28	524,96	4467951,81	3601750,56
C1134	¡frica	Cameroon	Verduras	Online	Alta	43923	998791825	43926	2502	9,33	90,93	1386231,88	818188,14
C1135	¡frica	Burkina Faso	Ropa	Offline	Alta	44637	998791825	44665	2986	9,33	35,84	134305,12	44047,36
C1136	Europa	Serbia	Cereales	Online	Cr√≠tic	44430	998791825	44457	3735	81,73	117,11	1728291,4	983958,22
C1137	¡frica	Mauritius 	Bebida	Offline	Cr√≠tic	44010	998791825	44013	691	152,58	31,79	113737,65	76200,63
C1138	¡frica	Liberia	Cuidado personal	Offline	Cr√≠tic	44232	998791825	44260	1827	81,73	56,67	582407,98	403830,42
C1139	Europa	Latvia	C√°rnico	Offline	Media	44532	998791825	44537	2149	9,33	364,69	1489271,7	1287355,7
C114	Asia	Thailand	C√°rnico	Offline	Alta	44759	189522588	44794	3934	421,89	364,69	1659715,26	1434690,46
C1140	Asia	China	Bebida	Online	Cr√≠tic	44491	998791825	44497	8692	651,21	31,79	217463,35	145693,57
C1141	Australia y Ocean√≠	New Zealand	Cosm√©tico	Online	Baja	44362	998791825	44402	5523	9,33	263,33	126788	76365,7
C1142	¡frica	Sierra Leone	Cereales	Online	Cr√≠tic	44543	998791825	44570	8743	9,33	117,11	552715,9	314674,57
C1143	Europa	Bulgaria	Cereales	Online	Baja	44011	998791825	44039	1479	9,33	117,11	173199,4	98606,62
C1144	¡frica	Somalia	Ropa	Offline	Baja	43982	998791825	43997	8894	668,27	35,84	639725,12	209807,36
C1145	Europa	Spain	Frutas	Online	Baja	44249	998791825	44249	3180	651,21	6,92	54589,83	40488,92
C1146	Europa	Cyprus	Frutas	Online	Cr√≠tic	44755	998791825	44764	8561	651,21	6,92	9292,68	6892,32
C1147	¡frica	Namibia	Cuidado personal	Offline	Alta	44021	998791825	44025	6291	81,73	56,67	693070,4	480561,6
C1148	Norteam√©ric	Greenland	Snacks	Offline	Cr√≠tic	43848	998791825	43859	9656	668,27	97,44	1148469,66	733430,88
C1149	¡frica	Rwanda	Cuidado personal	Offline	Cr√≠tic	44618	998791825	44663	8975	651,21	56,67	359039,89	248951,31
C115	Europa	Moldova 	Dom√©stic	Online	Alta	44440	189676654	44448	8972	668,27	502,54	5995718,44	4508788,88
C1150	Centroam√©rica y Carib	The Bahamas	Frutas	Offline	Cr√≠tic	44772	998791825	44805	6595	651,21	6,92	68696,79	50951,96
C1151	Europa	Germany	Material de oficina	Offline	Cr√≠tic	44463	998791825	44505	1896	154,06	524,96	1142873,55	921304,8
C1152	Europa	Cyprus	Frutas	Online	Cr√≠tic	43992	998791825	43992	6290	421,89	6,92	45875,61	34025,64
C1153	Europa	Luxembourg	Frutas	Offline	Baja	44326	998791825	44354	8219	651,21	6,92	11466,57	8504,68
C1154	Australia y Ocean√≠	Tuvalu	Frutas	Online	Media	44496	998791825	44500	8156	421,89	6,92	66261,66	49145,84
C1155	Europa	Bulgaria	Dom√©stic	Offline	Alta	44196	998791825	44245	3607	109,28	502,54	3995586,33	3004686,66
C1156	Asia	Bangladesh	Material de oficina	Offline	Baja	44315	998791825	44359	4107	421,89	524,96	2170482,93	1749691,68
C1157	Centroam√©rica y Carib	El Salvador	Material de oficina	Offline	Media	44320	998791825	44330	6225	152,58	524,96	1087520,7	876683,2
C1158	Asia	China	Cuidado personal	Online	Cr√≠tic	44872	998791825	44905	8558	109,28	56,67	451558,25	313101,75
C1159	Asia	Mongolia	Dom√©stic	Offline	Media	44166	998791825	44199	6736	205,7	502,54	4321033,82	3249423,64
C116	Centroam√©rica y Carib	Trinidad and Tobago	Alimento infantil	Online	Alta	44210	190043151	44250	7917	255,28	159,42	2021051,76	1262128,14
C1160	Australia y Ocean√≠	Solomon Islands	Material de oficina	Online	Alta	44720	998791825	44767	8421	152,58	524,96	5268940,11	4247451,36
C1161	¡frica	Mauritania	Material de oficina	Online	Baja	44502	998791825	44551	8306	668,27	524,96	670746,3	540708,8
C1162	Asia	South Korea	Verduras	Offline	Baja	44759	998791825	44784	3112	651,21	90,93	1224006,7	722438,85
C1163	Asia	Myanmar	C√°rnico	Online	Media	44274	998791825	44275	6597	81,73	364,69	3597456,03	3109711,63
C1164	¡frica	Botswana	Material de oficina	Online	Alta	44065	998791825	44082	4545	109,28	524,96	2931096,21	2362844,96
C1165	Europa	Portugal	C√°rnico	Offline	Media	44774	998791825	44824	9774	154,06	364,69	1949553,69	1685232,49
C1166	Europa	Spain	Ropa	Online	Baja	44060	998791825	44099	7132	152,58	35,84	1057065,44	346680,32
C1167	¡frica	Cote d'Ivoire	C√°rnico	Offline	Baja	44424	998791825	44437	8501	651,21	364,69	3154049,64	2726422,44
C1168	Europa	Russia	Snacks	Offline	Alta	44340	998791825	44354	7789	651,21	97,44	1201720,08	767437,44
C1169	Australia y Ocean√≠	Federated States of Micronesia	Ropa	Offline	Media	43994	998791825	44017	5941	47,45	35,84	847466,4	277939,2
C117	Asia	Japan	Bebida	Online	Media	43927	190168464	43947	2024	47,45	31,79	96038,8	64342,96
C1170	¡frica	The Gambia	Cereales	Online	Alta	44763	998791825	44796	5930	205,7	117,11	1239136,8	705470,64
C1171	Europa	Luxembourg	Snacks	Online	Alta	44517	998791825	44542	7760	109,28	97,44	1315849,92	840322,56
C1172	¡frica	Liberia	Dom√©stic	Offline	Cr√≠tic	44403	998791825	44448	3468	205,7	502,54	2358324,83	1773463,66
C1173	¡frica	Burundi	Material de oficina	Offline	Cr√≠tic	44152	998791825	44178	2121	668,27	524,96	3741201,45	3015895,2
C1174	¡frica	Syria	Cuidado personal	Offline	Cr√≠tic	44684	998791825	44698	4818	651,21	56,67	188632,84	130794,36
C1175	Norteam√©ric	United States of America	Ropa	Offline	Media	44455	998791825	44501	9689	47,45	35,84	795995,52	261058,56
C1176	Asia	Japan	Verduras	Online	Baja	44157	998791825	44174	6894	47,45	90,93	1043448,38	615868,89
C1177	Asia	Laos	Snacks	Online	Cr√≠tic	44107	998791825	44123	3626	152,58	97,44	595672,32	380405,76
C1178	Europa	Germany	Material de oficina	Online	Cr√≠tic	44768	998791825	44810	9109	205,7	524,96	2499995,19	2015321,44
C1179	Norteam√©ric	Greenland	Material de oficina	Offline	Cr√≠tic	44140	998791825	44172	9598	437,2	524,96	5710460,49	4603374,24
C118	¡frica	Central African Republic	Cereales	Offline	Cr√≠tic	44643	190800607	44643	4578	205,7	117,11	941694,6	536129,58
C1180	Centroam√©rica y Carib	Jamaica	Bebida	Offline	Alta	44547	998791825	44586	3378	9,33	31,79	138506,55	92795,01
C1181	Europa	Switzerland	Cereales	Offline	Media	44804	998791825	44804	5768	81,73	117,11	1551800,8	883477,84
C1182	Europa	Sweden	Ropa	Online	Media	43873	998791825	43895	4115	154,06	35,84	647921,12	212495,36
C1183	¡frica	Liberia	Cereales	Offline	Alta	44519	998791825	44562	2801	421,89	117,11	1726234,4	982787,12
C1184	Australia y Ocean√≠	Kiribati	Dom√©stic	Online	Baja	44431	998791825	44448	8234	9,33	502,54	4865673,87	3658993,74
C1185	Europa	Malta	Material de oficina	Offline	Baja	44057	998791825	44096	3860	437,2	524,96	1287442,17	1037845,92
C1186	Asia	Philippines	Bebida	Online	Alta	43990	998791825	44003	5150	154,06	31,79	184580,5	123663,1
C1187	¡frica	Comoros	Bebida	Online	Cr√≠tic	44450	998791825	44485	4609	651,21	31,79	69466,8	46540,56
C1188	Europa	Liechtenstein	Snacks	Online	Cr√≠tic	44757	998791825	44767	6775	205,7	97,44	788991,18	503862,24
C1189	¡frica	Lebanon	Cereales	Online	Alta	43857	998791825	43894	3213	152,58	117,11	517541,2	294648,76
C119	¡frica	Azerbaijan	Cuidado personal	Online	Baja	43901	192262303	43924	5899	81,73	56,67	482125,27	334296,33
C1190	Norteam√©ric	Greenland	Cosm√©tico	Offline	Baja	43977	998791825	44000	7524	154,06	263,33	1327339,2	799469,88
C1191	¡frica	Chad	Frutas	Offline	Alta	43834	998791825	43850	336	47,45	6,92	30770,34	22822,16
C1192	Europa	Macedonia	Cuidado personal	Offline	Alta	44381	998791825	44408	4311	255,28	56,67	155368,73	107729,67
C1193	¡frica	United Arab Emirates	Verduras	Online	Media	44106	998791825	44110	9142	109,28	90,93	689264,44	406820,82
C1194	¡frica	Qatar	C√°rnico	Online	Media	44780	998791825	44790	6551	421,89	364,69	3661161,42	3164779,82
C1195	¡frica	Iraq	Frutas	Offline	Alta	44662	998791825	44708	5294	9,33	6,92	85901,31	63712,44
C1196	Europa	Kosovo	Cosm√©tico	Offline	Baja	44250	998791825	44274	6157	9,33	263,33	1216727,6	732847,39
C1197	Asia	Bhutan	Verduras	Online	Media	44707	998791825	44755	6958	437,2	90,93	487137,72	287520,66
